iter,loss,routing_min,routing_max
213,3.6727,0.008,0.63
214,3.6004,0.0,0.578
215,3.6491,0.0,0.617
216,3.6124,0.0,0.609
217,3.7153,0.0,0.578
218,3.766,0.023,0.64
219,3.6796,0.0,0.562
220,3.6178,0.0,0.602
221,3.5589,0.0,0.625
222,3.6619,0.031,0.645
223,3.6613,0.0,0.609
224,3.585,0.039,0.65
225,3.7511,0.0,0.531
226,3.614,0.0,0.586
227,3.5712,0.0,0.625
228,3.6303,0.023,0.64
229,3.6272,0.0,0.602
230,3.5798,0.031,0.645
231,3.5549,0.047,0.656
232,3.5448,0.016,0.635
233,3.6054,0.023,0.64
234,3.629,0.0,0.602
235,3.6209,0.0,0.609
236,3.6228,0.023,0.64
237,3.5504,0.0,0.555
238,3.6158,0.0,0.555
239,3.6796,0.0,0.578
240,3.5438,0.0,0.586
241,3.5595,0.023,0.64
242,3.5868,0.0,0.609
243,3.5394,0.0,0.602
244,3.601,0.0,0.609
245,3.5701,0.008,0.63
246,3.5294,0.016,0.635
247,3.6752,0.0,0.562
248,3.5538,0.0,0.57
249,3.5778,0.0,0.625
250,3.6255,0.0,0.586
251,3.7237,0.0,0.57
252,3.533,0.023,0.64
253,3.4626,0.0,0.586
254,3.5269,0.078,0.678
255,3.4964,0.0,0.602
256,3.5993,0.0,0.602
257,3.5835,0.0,0.609
258,3.7178,0.0,0.625
259,3.5731,0.055,0.661
260,3.5019,0.0,0.602
261,3.4818,0.0,0.609
262,3.5944,0.0,0.609
263,3.4931,0.023,0.64
264,3.5586,0.0,0.555
265,3.5762,0.023,0.64
266,3.5225,0.0,0.609
267,3.5913,0.0,0.578
268,3.4554,0.07,0.672
269,3.4413,0.016,0.635
270,3.5439,0.023,0.64
271,3.4307,0.047,0.656
272,3.4438,0.0,0.602
273,3.4786,0.031,0.645
274,3.5392,0.0,0.609
275,3.4725,0.0,0.609
276,3.4539,0.062,0.667
277,3.3945,0.0,0.594
278,3.5271,0.023,0.64
279,3.5122,0.0,0.625
280,3.4527,0.039,0.65
281,3.5625,0.0,0.609
282,3.5129,0.0,0.617
283,3.5516,0.0,0.594
284,3.3989,0.0,0.617
285,3.4827,0.0,0.57
286,3.4685,0.0,0.586
287,3.4103,0.0,0.57
288,3.5022,0.039,0.65
289,3.52,0.0,0.594
290,3.3928,0.0,0.602
291,3.4052,0.055,0.661
292,3.3805,0.0,0.578
293,3.4005,0.047,0.656
294,3.4435,0.0,0.594
295,3.4238,0.0,0.586
296,3.3353,0.078,0.678
297,3.5997,0.0,0.602
298,3.4066,0.023,0.64
299,3.4474,0.0,0.617
300,3.5037,0.0,0.57
301,3.4745,0.0,0.625
302,3.3623,0.0,0.617
303,3.4885,0.031,0.645
304,3.3524,0.016,0.635
305,3.4186,0.0,0.594
306,3.3393,0.039,0.65
307,3.4833,0.0,0.609
308,3.365,0.0,0.609
309,3.4005,0.0,0.523
310,3.4657,0.0,0.57
311,3.4668,0.0,0.594
312,3.374,0.0,0.609
313,3.4508,0.016,0.635
314,3.4697,0.0,0.523
315,3.3427,0.0,0.609
316,3.3166,0.023,0.64
317,3.3508,0.0,0.625
318,3.376,0.0,0.578
319,3.4036,0.0,0.578
320,3.4164,0.0,0.547
321,3.4032,0.0,0.547
322,3.4698,0.0,0.547
323,3.333,0.0,0.586
324,3.2916,0.0,0.594
325,3.3584,0.0,0.539
326,3.447,0.0,0.547
327,3.3971,0.0,0.531
328,3.3145,0.0,0.617
329,3.3359,0.0,0.555
330,3.2604,0.0,0.555
331,3.3146,0.0,0.602
332,3.3874,0.0,0.578
333,3.351,0.0,0.562
334,3.3808,0.0,0.609
335,3.3033,0.016,0.635
336,3.3833,0.0,0.586
337,3.3072,0.0,0.586
338,3.2974,0.0,0.594
339,3.3096,0.0,0.539
340,3.4055,0.0,0.555
341,3.2542,0.0,0.602
342,3.2905,0.0,0.586
343,3.4542,0.0,0.516
344,3.2762,0.0,0.586
345,3.2807,0.0,0.508
346,3.3027,0.039,0.65
347,3.3672,0.0,0.594
348,3.2645,0.055,0.661
349,3.3524,0.0,0.547
350,3.2304,0.0,0.602
351,3.2829,0.0,0.602
352,3.2311,0.0,0.625
353,3.2609,0.0,0.625
354,3.1852,0.0,0.578
355,3.2162,0.0,0.539
356,3.3447,0.0,0.578
357,3.2452,0.0,0.609
358,3.2897,0.0,0.555
359,3.1642,0.0,0.594
360,3.2492,0.0,0.617
361,3.283,0.0,0.562
362,3.2398,0.0,0.594
363,3.2727,0.0,0.625
364,3.2681,0.0,0.578
365,3.361,0.0,0.625
366,3.2034,0.0,0.578
367,3.3299,0.031,0.645
368,3.1847,0.0,0.57
369,3.2466,0.0,0.586
370,3.144,0.016,0.635
371,3.1856,0.0,0.586
372,3.2598,0.039,0.65
373,3.2653,0.0,0.602
374,3.2357,0.0,0.547
375,3.1711,0.0,0.609
376,3.407,0.0,0.562
377,3.1974,0.0,0.57
378,3.3169,0.0,0.602
379,3.2198,0.023,0.64
380,3.2165,0.008,0.63
381,3.4146,0.0,0.531
382,3.2382,0.0,0.562
383,3.2742,0.0,0.578
384,3.0999,0.0,0.617
385,3.2238,0.008,0.63
386,3.2389,0.008,0.63
387,3.145,0.0,0.562
388,3.3584,0.0,0.602
389,3.2114,0.023,0.64
390,3.1653,0.062,0.667
391,3.183,0.0,0.578
392,3.1691,0.016,0.635
393,3.2509,0.0,0.562
394,3.1142,0.016,0.635
395,3.2057,0.0,0.625
396,3.1773,0.023,0.64
397,3.2675,0.0,0.617
398,3.1848,0.016,0.635
399,3.1197,0.023,0.64
400,3.2496,0.0,0.594
